movie_id,id,name
19995,1463.0,culture clash
19995,2964.0,future
19995,3386.0,space war
19995,3388.0,space colony
19995,3679.0,society
19995,3801.0,space travel
19995,9685.0,futuristic
19995,9840.0,romance
19995,9882.0,space
19995,9951.0,alien
19995,10148.0,tribe
19995,10158.0,alien planet
19995,10987.0,cgi
19995,11399.0,marine
19995,13065.0,soldier
19995,14643.0,battle
19995,14720.0,love affair
19995,165431.0,anti war
19995,193554.0,power relations
19995,206690.0,mind and soul
19995,209714.0,3d
285,270.0,ocean
285,726.0,drug abuse
285,911.0,exotic island
285,1319.0,east india trading company
285,2038.0,love of one's life
285,2052.0,traitor
285,2580.0,shipwreck
285,2660.0,strong woman
285,3799.0,ship
285,5740.0,alliance
285,5941.0,calypso
285,6155.0,afterlife
285,6211.0,fighter
285,12988.0,pirate
285,157186.0,swashbuckler
285,179430.0,aftercreditsstinger
206647,470.0,spy
206647,818.0,based on novel
206647,4289.0,secret agent
206647,9663.0,sequel
206647,14555.0,mi6
206647,156095.0,british secret service
206647,158431.0,united kingdom
49026,849.0,dc comics
49026,853.0,crime fighter
49026,949.0,terrorist
49026,1308.0,secret identity
49026,1437.0,burglar
49026,3051.0,hostage drama
49026,3562.0,time bomb
49026,6969.0,gotham city
49026,7002.0,vigilante
49026,9665.0,cover-up
49026,9715.0,superhero
49026,9990.0,villainess
49026,10044.0,tragic hero
49026,13015.0,terrorism
49026,14796.0,destruction
49026,18933.0,catwoman
49026,156082.0,cat burglar
49026,156395.0,imax
49026,173272.0,flood
49026,179093.0,criminal underworld
49026,230775.0,batman
49529,818.0,based on novel
49529,839.0,mars
49529,1456.0,medallion
49529,3801.0,space travel
49529,7376.0,princess
49529,9951.0,alien
49529,10028.0,steampunk
49529,10539.0,martian
49529,10685.0,escape
49529,161511.0,edgar rice burroughs
49529,163252.0,alien race
49529,179102.0,superhuman strength
49529,190320.0,mars civilization
49529,195446.0,sword and planet
49529,207928.0,19th century
49529,209714.0,3d
559,851.0,dual identity
559,1453.0,amnesia
559,1965.0,sandstorm
559,2038.0,love of one's life
559,3446.0,forgiveness
559,3986.0,spider
559,4391.0,wretch
559,4959.0,death of a friend
559,5776.0,egomania
559,5789.0,sand
559,5857.0,narcism
559,6062.0,hostility
559,8828.0,marvel comic
559,9663.0,sequel
559,9715.0,superhero
559,9748.0,revenge
38757,1562.0,hostage
38757,2343.0,magic
38757,2673.0,horse
38757,3205.0,fairy tale
38757,4344.0,musical
38757,7376.0,princess
38757,10336.0,animation
38757,33787.0,tower
38757,155658.0,blonde woman
38757,162219.0,selfishness
38757,163545.0,healing power
38757,179411.0,based on fairy tale
38757,179431.0,duringcreditsstinger
38757,215258.0,healing gift
38757,234183.0,animal sidekick
99861,8828.0,marvel comic
99861,9663.0,sequel
99861,9715.0,superhero
99861,9717.0,based on comic book
99861,10629.0,vision
99861,155030.0,superhero team
99861,179431.0,duringcreditsstinger
99861,180547.0,marvel cinematic universe
99861,209714.0,3d
767,616.0,witch
767,2343.0,magic
767,3872.0,broom
767,3884.0,school of witchcraft
767,6333.0,wizardry
767,10164.0,apparition
767,10791.0,teenage crush
767,12564.0,werewolf
209112,849.0,dc comics
209112,7002.0,vigilante
209112,9715.0,superhero
209112,9717.0,based on comic book
209112,9748.0,revenge
209112,163455.0,super powers
209112,195242.0,clark kent
209112,195243.0,bruce wayne
209112,229266.0,dc extended universe
1452,83.0,saving the world
1452,849.0,dc comics
1452,8872.0,invulnerability
1452,9663.0,sequel
1452,9715.0,superhero
1452,9717.0,based on comic book
1452,163420.0,kryptonite
1452,163455.0,super powers
1452,179102.0,superhuman strength
1452,202526.0,lex luthor
10764,627.0,killing
10764,1568.0,undercover
10764,4289.0,secret agent
10764,156095.0,british secret service
58,616.0,witch
58,663.0,fortune teller
58,910.0,bondage
58,911.0,exotic island
58,1299.0,monster
58,1316.0,captain
58,1317.0,card game
58,1319.0,east india trading company
58,1461.0,compass
58,3799.0,ship
58,5600.0,daughter
58,12988.0,pirate
58,157186.0,swashbuckler
58,179430.0,aftercreditsstinger
57201,1556.0,texas
57201,2673.0,horse
57201,5385.0,survivor
57201,5901.0,texas ranger
57201,9104.0,partner
57201,9503.0,outlaw
57201,10685.0,escape
57201,10909.0,lawyer
57201,13008.0,train
57201,178867.0,lone ranger
57201,179419.0,comanche
57201,222787.0,the lone ranger
57201,228232.0,tonto
49521,83.0,saving the world
49521,849.0,dc comics
49521,9715.0,superhero
49521,9717.0,based on comic book
49521,10761.0,superhuman
49521,14909.0,alien invasion
49521,161184.0,reboot
49521,163455.0,super powers
49521,229266.0,dc extended universe
2454,818.0,based on novel
2454,855.0,fictional place
2454,1155.0,brother sister relationship
2454,2043.0,lion
2454,3714.0,human being
2454,4391.0,wretch
2454,4820.0,leap in time
2454,5144.0,matter of life and death
2454,6150.0,faith
2454,6464.0,uncle
2454,166930.0,narnia
2454,170362.0,fantasy world
24428,242.0,new york
24428,5539.0,shield
24428,8828.0,marvel comic
24428,9715.0,superhero
24428,9717.0,based on comic book
24428,14909.0,alien invasion
24428,155030.0,superhero team
24428,179430.0,aftercreditsstinger
24428,179431.0,duringcreditsstinger
24428,180547.0,marvel cinematic universe
1865,658.0,sea
1865,1316.0,captain
1865,1860.0,mutiny
1865,1938.0,sword
1865,2569.0,prime minister
1865,3180.0,sailing
1865,3625.0,silver
1865,3799.0,ship
1865,4235.0,duke
1865,5938.0,mermaid
1865,12988.0,pirate
1865,13065.0,soldier
1865,14643.0,battle
1865,157186.0,swashbuckler
1865,179430.0,aftercreditsstinger
1865,209714.0,3d
41154,4379.0,time travel
41154,5455.0,time machine
41154,9951.0,alien
41154,174915.0,fictional government agency
41154,185668.0,seeing the future
41154,208756.0,changing history
122917,417.0,corruption
122917,603.0,elves
122917,604.0,dwarves
122917,606.0,orcs
122917,609.0,middle-earth (tolkien)
122917,611.0,hobbit
122917,12554.0,dragon
122917,14643.0,battle
122917,167982.0,unlikely friendship
122917,188270.0,epic battle
122917,234213.0,sword and sorcery
1930,1872.0,loss of father
1930,7002.0,vigilante
1930,8803.0,serum
1930,8828.0,marvel comic
1930,156855.0,scientific experiment
1930,158124.0,spider bite
1930,158456.0,masked vigilante
1930,161184.0,reboot
1930,163455.0,super powers
1930,163561.0,genetic engineering
1930,171556.0,social outcast
1930,179431.0,duringcreditsstinger
20662,4147.0,robin hood
20662,4393.0,archer
20662,10466.0,knight
20662,11525.0,sherwood forest
20662,18101.0,bow and arrow
20662,41406.0,middle ages
20662,161257.0,medieval
20662,186686.0,king of england
